LTM8054

Pin,Unit,Type,Name,Side
A1,power,power_out,VOUT,right
A2,power,power_out,VOUT,right
A3,power,power_out,VOUT,right
A4,power,power_out,VOUT,right
A5,power,power_out,VOUT,right
A6,power,power_in,GND,left
A7,power,power_in,GND,left
A8,power,power_in,GND,left
B1,power,power_out,VOUT,right
B2,power,power_out,VOUT,right
B3,power,power_out,VOUT,right
B4,power,power_out,VOUT,right
B5,power,power_out,VOUT,right
B6,power,power_in,GND,left
B7,power,power_in,GND,left
B8,power,power_in,GND,left
C1,power,unspecified,IOUT,right
C2,power,power_in,GND,left
C3,power,power_in,GND,left
C4,power,power_in,GND,left
C5,power,power_in,GND,left
C6,power,power_in,GND,left
C7,power,power_in,GND,left
C8,power,power_in,GND,left
D1,power,power_in,GND,left
D2,power,power_in,GND,left
D3,power,power_in,GND,left
D4,power,power_in,GND,left
D5,power,power_in,GND,left
D6,power,power_in,GND,left
D7,power,power_in,GND,left
D8,power,power_in,GND,left
E1,power,power_in,GND,left
E2,power,power_in,GND,left
E3,power,power_in,GND,left
E4,power,power_in,GND,left
E5,power,power_in,GND,left
E6,power,power_in,GND,left
E7,power,power_in,GND,left
E8,power,power_in,GND,left
F1,control,open_collector,LL,left
F2,power,power_in,GND,left
F3,power,power_in,GND,left
F4,power,power_in,GND,left
F5,power,power_in,GND,left
F6,power,power_in,GND,left
F7,power,power_in,GND,left
F8,power,power_in,GND,left
G1,control,output,CLKOUT,right
G2,control,input,MODE,left
G3,power,power_in,GND,left
G4,power,power_in,GND,left
G5,power,power_in,GND,left
G6,power,power_in,GND,left
G7,power,power_in,GND,left
G8,power,power_in,GND,left
H1,control,unspecified,RT,left
H2,control,input,SYNC,left
H3,power,power_in,GND,left
H4,power,power_in,GND,left
H5,power,power_in,GND,left
H6,power,power_in,GND,left
H7,power,power_in,SVIN,left
H8,power,power_in,SVIN,left
J1,power,unspecified,FB,right
J2,control,unspecified,COMP,right
J3,power,power_in,GND,left
J4,power,power_in,GND,left
J5,power,power_in,GND,left
J6,power,power_in,GND,left
J7,power,power_in,VIN,left
J8,power,power_in,VIN,left
K1,control,unspecified,SS,left
K2,control,input,CTL,left
K3,power,power_in,GND,left
K4,power,power_in,GND,left
K5,power,power_in,GND,left
K6,power,power_in,GND,left
K7,power,power_in,VIN,left
K8,power,power_in,VIN,left
L1,power,power_in,GND,left
L2,control,output,IOUTMON,right
L3,control,output,IINMON,right
L4,control,input,RUN,left
L5,power,power_in,GND,left
L6,power,power_in,VIN,left
L7,power,power_in,VIN,left
L8,power,power_in,VIN,left
